Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
NEG.282.1076@3.11719,91077.91304347826,0.44696180634676835,-1.1617765389783556,Mann-Whitney U,429.0,5.910686978099982e-11,7.692336910070118e-09,True,Down,1.1617765389783556,8.11394170272528,blue
POS.366.2386@6.963009,288328.17441860464,0.06786343806897857,-3.8812216686645233,Mann-Whitney U,434.0,7.197670743792829e-11,9.044245582890022e-09,True,Down,3.8812216686645233,8.043627653552912,blue
NEG.520.1179@5.5804033,21603.86046511628,2.041246926228187,1.0294507133344584,Mann-Whitney U,2642.0,7.785920275532825e-11,9.457297828013872e-09,True,Up,1.0294507133344584,8.024232934002065,red
NEG.346.2118@7.13091,24817.970588235294,2.086036671291535,1.0607645198065827,Mann-Whitney U,2640.0,8.421097927761464e-11,9.589525265238366e-09,True,Up,1.0607645198065827,8.01820289228613,red
POS.264.1965@3.0260007,5920350.818181818,318.9909583110891,8.31737172165007,Mann-Whitney U,2625.0,1.5098107647178575e-10,1.5282640073977425e-08,True,Up,8.31737172165007,7.8158016149671585,red
POS.515.4185@7.849,101261.97777777778,0.10386612530170712,-3.2672028817202765,Mann-Whitney U,461.0,2.0548969691735683e-10,1.9200114245303802e-08,True,Down,3.2672028817202765,7.716696187132002,blue
POS.560.3301@7.848011,27031.279569892475,0.06610162416490165,-3.919170469541573,Mann-Whitney U,470.0,2.8990761682398754e-10,2.5152937040633587e-08,True,Down,3.919170469541573,7.5994112962515254,blue
NEG.290.082@3.632435,109125.62921348315,4.433569846325278,2.148468803881958,Mann-Whitney U,2598.0,4.2357701530186864e-10,3.410349405246864e-08,True,Up,2.148468803881958,7.4672011233544415,red
POS.543.4493@7.8480105,74090.17582417582,0.08966086704532547,-3.479377739059522,Mann-Whitney U,486.0,5.309169592031713e-10,4.030544581950742e-08,True,Down,3.479377739059522,7.394636270742854,blue
POS.140.0448@2.1560035,27679.414414414416,2.1391615208879324,1.097045419663461,Mann-Whitney U,2588.0,6.167756414254537e-10,4.4069224261850066e-08,True,Up,1.097045419663461,7.355864594186316,red
POS.183.02@2.1780014,370939.58558558556,0.017275969750250086,-5.855089494234448,Mann-Whitney U,494.0,7.161293122207526e-10,5.0184138725623505e-08,True,Down,5.855089494234448,7.299433524934904,blue
POS.99.0687@2.1780014,22295953.054054055,0.018007008308572617,-5.795297678541943,Mann-Whitney U,495.0,7.433110341533332e-10,5.110613978216502e-08,True,Down,5.795297678541943,7.291526921522122,blue
POS.183.0202@2.1780014,373457.47747747746,0.0171552905236379,-5.865202631733275,Mann-Whitney U,497.0,8.007270994292017e-10,5.305181000581838e-08,True,Down,5.865202631733275,7.27529979438037,blue
POS.99.0685@2.1780014,22357291.585585587,0.01780196384249508,-5.811819787372499,Mann-Whitney U,498.0,8.310350586520662e-10,5.312792550400226e-08,True,Down,5.811819787372499,7.274677141736676,blue
POS.389.3131@7.174007,57232.59302325582,0.0935171903337264,-3.418624604136242,Mann-Whitney U,498.0,8.310350586520662e-10,5.312792550400226e-08,True,Down,3.418624604136242,7.274677141736676,blue
POS.318.1461@5.588993,102913.67415730337,2.529807118681054,1.3390273930104348,Mann-Whitney U,2577.0,9.288277676966857e-10,5.7366921787910555e-08,True,Up,1.3390273930104348,7.241338453000433,red
POS.543.4485@8.630004,208466.02083333334,0.0313098153852077,-4.997241187961526,Mann-Whitney U,503.0,1.0001656069399067e-09,6.0743391194817e-08,True,Down,4.997241187961526,7.216500965857265,blue
POS.193.0582@5.588993,40463.95505617977,2.572230013946492,1.3630196571069957,Mann-Whitney U,2573.0,1.0768360289672248e-09,6.329016918639625e-08,True,Up,1.3630196571069957,7.198663743373959,red
NEG.506.1159@5.5806937,145340.5340909091,2.0372382781273455,1.026614729723741,Mann-Whitney U,2573.0,1.0768360289672248e-09,6.329016918639625e-08,True,Up,1.026614729723741,7.198663743373959,red
POS.336.1567@5.590006,15990.666666666666,2.176082915431073,1.1217335287400063,Mann-Whitney U,2572.0,1.1172908985012514e-09,6.46255243514057e-08,True,Up,1.1217335287400063,7.189595920153348,red
NEG.437.0903@5.5813165,93085.5,2.2134231304920764,1.1462792712521088,Mann-Whitney U,2571.0,1.1592261778483623e-09,6.600344050124112e-08,True,Up,1.1462792712521088,7.180433425795099,red
